transaction_id,customer_id,transaction_amount,merchant_category,merchant_country,device_type,transaction_type,transaction_time,hour,distance_from_home,transactions_last_24h,merchant_risk_score,is_international,is_card_present,device_trust_score,account_balance,fraud_label
dad4ab20-c3e7-49d8-9254-5888c4eabc84,ad4375a7-1a4a-4d1d-ae2b-188e589709f4,3198.94,healthcare,CA,mobile,purchase,2025-05-14T06:01:32,6,3703.34,18,0.11,0,0,0.32,7062.94,1
7e22dd0b-4d4f-415a-b7b3-e3881228d220,5583f211-402a-41a7-b2b6-407890b3174b,1097.1,grocery,IN,web,deposit,2025-09-06T11:02:14,11,1102.2,36,0.55,0,1,0.28,32529.23,0
a52e37a5-a23f-4759-b16f-3a782870636e,17a2a81e-d410-4457-8b33-a251c29db370,1392.97,grocery,FR,atm,purchase,2025-04-23T13:15:25,13,1719.78,22,0.37,0,1,0.19,19058.37,0
bf59c48d-09a5-4a83-ad4f-42e1c0c87d97,b688864a-3c3a-4ed8-a8af-01d9457bb595,398.61,gas,CA,mobile,transfer,2025-04-22T19:53:39,19,347.78,40,0.2,1,0,0.9,18145.59,0
c4e9087b-840f-40ef-9627-8b43faf8ed61,5ca7bc42-0d9d-4675-93c9-3b79603d4ec8,1903.73,travel,BR,web,transfer,2025-12-17T07:18:30,7,3509.1,24,0.67,1,0,0.25,17828.01,1
606ec503-4771-492a-aae2-854530ec0b04,16f56f58-da22-45fc-8c5f-8acf79815288,1900.38,healthcare,DE,pos,purchase,2025-04-10T06:38:58,6,160.5,21,0.24,0,1,0.86,38822.4,0
758bbd2d-8acd-43c5-935f-76edd0494c2e,37b02d2d-e1c8-4ff9-b9be-d05c01cd740e,4566.11,travel,FR,web,withdrawal,2025-10-19T22:07:01,22,2294.26,14,0.92,1,1,0.69,19842.03,1
5cc75729-d0c0-42f6-9e8c-e9bd30f7be17,6a4b76b4-827b-40c2-8439-0856ea9625cf,4489.63,electronics,FR,web,transfer,2025-10-05T06:37:10,6,454.55,24,0.51,1,0,0.3,49877.13,1
bf7705a1-ee71-4e0c-bbe7-b6e03af4d008,3dd084c6-8a12-4e26-adf5-a82e083efab8,2984.06,electronics,CA,pos,withdrawal,2025-04-08T23:14:35,23,2766.13,25,0.26,1,0,0.64,23455.69,1
db8a8053-c2e4-405e-9c44-564b845e4359,ae6564df-d457-4d58-8dbb-1baa80fbe212,1471.03,utilities,DE,mobile,withdrawal,2025-05-13T22:53:00,22,4859.44,30,0.72,0,0,0.1,36132.39,1
5ba51115-938a-4e3a-9b2b-c4fa7ed62e53,8429ea40-3b61-4ce2-81e3-273f0243c5fe,768.43,grocery,NG,mobile,withdrawal,2026-03-28T07:17:43,7,2994.72,35,0.92,0,1,0.96,46129.46,0
8fca5357-1103-4ffa-a384-1b4d85614813,85d2aaa2-fc5e-4121-a4e7-ed411b41816f,1201.06,travel,NG,atm,transfer,2025-06-16T08:58:05,8,346.06,37,0.49,0,0,0.95,4374.11,0
dc3fce4a-8e17-451b-aefa-9dc25af3f4a0,4d98ca23-8e43-4143-8784-9f05ba8390fd,2640.73,retail,CA,atm,deposit,2025-08-09T06:32:40,6,3564.74,14,0.69,1,1,0.94,37787.73,1
b63e922c-3a42-4a32-9ffd-4fa864fbfe40,0aca3a2e-e300-436b-8f15-3a74f8f85b44,1243.29,restaurant,IN,mobile,purchase,2025-04-12T13:54:04,13,35.95,22,0.59,0,0,0.12,27740.68,0
461b4d33-dc19-4db0-9008-1f376395b55f,7ef00bf9-8bb3-45b8-aa4b-37e9ce69d31a,358.93,restaurant,DE,atm,deposit,2025-12-05T00:00:13,0,4677.57,18,0.14,0,1,0.7,10790.42,0
13766ad1-b0af-491d-b840-d03c87dd1e91,2d19ce4e-a926-4ddb-a536-34c4814ce401,476.16,grocery,CA,atm,withdrawal,2025-10-21T10:55:39,10,3366.82,23,0.73,1,0,0.48,23404.53,1
7069a2b4-9388-4a40-877a-1ef54e1186bb,413e8917-d033-4e6a-a491-d35efe0a74dc,1247.04,entertainment,US,mobile,purchase,2026-02-22T03:58:07,3,1249.03,35,0.29,0,0,0.5,21151.89,0
a61456c0-82cd-41f6-9935-41894c9e2166,78b9f550-3964-4bb1-9d51-94316c48d837,4845.14,healthcare,NG,mobile,deposit,2025-12-27T19:59:33,19,4512.21,11,0.87,0,0,0.47,24119.79,0
2219e68c-2b96-4f3e-aa31-e705cd9bfa8c,d6cbfad9-cbfc-4c99-8d06-6e3b5bb9de2f,4632.96,travel,DE,web,withdrawal,2025-06-24T19:03:34,19,2778.84,19,1.0,1,1,0.48,47870.15,1
4d371aae-dc00-49d2-9cf8-da1964ef3b85,8b8f2727-d18b-41bd-9cd5-b72b3e4e02bb,4843.7,grocery,CA,mobile,transfer,2025-11-27T00:55:20,0,4263.6,21,0.51,0,0,0.15,29250.46,1
d4fbdb8a-c785-47fd-b513-966b07d98eed,e22bda95-3cb9-45a5-9afe-0016f5342eff,2977.2,healthcare,DE,pos,withdrawal,2026-03-25T06:24:21,6,2972.6,26,0.25,0,0,0.21,44525.34,1
862494d2-56ee-4a03-b629-34f442a3a940,be9948ab-6b9f-43bc-82b6-382142bb568c,3350.28,grocery,CA,atm,purchase,2025-09-07T20:40:09,20,2286.12,16,0.65,1,0,0.34,6630.83,1
3be01335-007c-4693-a5aa-4b1f373277a8,14eda6b9-e964-443f-a185-c72bdb381ea6,2690.48,entertainment,NG,pos,purchase,2026-03-04T09:01:59,9,1847.64,9,0.88,1,0,0.94,44055.12,1
c7165f86-14ab-4137-9c11-6c9cadfa512e,3222b50b-d500-4d6d-af46-b5d0d3a714aa,4659.12,restaurant,NG,pos,transfer,2025-12-02T03:57:42,3,777.24,9,0.74,0,1,0.34,44496.66,1
2379a0dc-87a8-4e7d-9af9-d8dffa70c068,5220b6e9-02fe-42ec-a471-797de3877ffc,2529.52,gas,FR,web,deposit,2025-09-10T05:33:04,5,17.73,4,0.28,1,0,0.18,21236.43,1
4c654936-03cb-497d-b331-5916a1229d1d,22a79ecb-a229-48a0-bf55-63ae5f38cfd6,2806.73,utilities,GB,web,deposit,2025-10-15T05:48:31,5,180.14,5,0.16,0,1,0.95,34581.88,0
93100f62-a684-40ab-a7be-6cc097dfc8ac,99b8c182-b5b6-4c82-b951-9aefeb81490c,213.94,travel,GB,web,transfer,2025-04-17T03:13:42,3,513.97,3,0.26,1,1,0.91,10582.82,0
acee5d2b-273e-4329-a8a7-201bf38ef462,1e1e00e8-942a-4484-afd0-860eed9ce084,4407.67,gas,FR,web,purchase,2026-03-20T01:49:09,1,4011.18,12,0.93,0,0,0.76,16676.05,1
8ad0268f-a532-486f-a840-2fce6116c9bd,f6622cbe-92e8-4bf7-a26a-05ff2c6788a0,4361.47,restaurant,FR,mobile,transfer,2025-11-01T08:52:16,8,4102.68,15,0.36,1,0,0.28,45930.75,1
b8876196-8623-4cdc-a1e2-1fd9d6b7f29c,e8a2b2fd-c783-4075-8844-e56eeba934c7,1644.67,grocery,GB,mobile,withdrawal,2025-10-22T19:14:59,19,4218.31,18,0.68,0,1,0.42,25519.34,0
64edc12f-d308-4f27-a175-b9966ce4dba8,5fef69a0-22b3-4640-9d8e-0c0af9e079f1,2905.05,healthcare,US,web,withdrawal,2026-01-08T16:49:10,16,1568.39,3,0.73,1,0,0.2,21784.73,1
f03f55fb-aace-497e-9a3b-d02ae7ae30f3,a271bc81-e3d0-40ed-898b-2dbef1909e06,3545.38,retail,IN,atm,purchase,2026-01-22T14:25:40,14,3709.75,34,0.72,0,0,0.93,26968.75,1
116ff722-e1a2-40ca-ae46-780c88001851,4a40e241-2c44-41e0-acfd-cc2165146b6e,3117.66,restaurant,GB,atm,deposit,2026-01-10T16:54:25,16,3486.04,20,0.33,0,0,0.56,33377.96,0
b30687fb-cd47-46f2-a0dd-42a7bc5cc8cf,bee523a2-ad6a-4a7f-b388-ca56659b1bf3,3079.5,entertainment,DE,atm,deposit,2026-01-15T11:57:54,11,2149.44,26,0.29,1,1,0.59,120.26,1
6320f181-1464-435f-bc59-54655fb3f76c,4c8d9d37-d32d-4a54-9f57-fed035ce2ef3,2558.31,gas,GB,web,transfer,2025-06-13T01:44:11,1,466.94,6,0.62,0,0,0.36,33226.31,0
848fd6ad-74b3-45fa-a444-fd5270b18cb4,fce8cdde-d3a5-4996-84e2-666a4e230c8d,127.0,healthcare,DE,atm,deposit,2025-07-23T03:32:13,3,4430.68,31,0.46,0,0,0.65,38447.62,0
2fd9381a-0211-44b8-98a6-141ef7c2dd31,e07304eb-e579-4189-9328-8388b760241a,742.12,grocery,BR,web,purchase,2025-08-27T07:48:16,7,3479.56,7,0.81,0,1,0.8,11020.17,0
3b9d1150-5a9a-40bf-a906-b0ec6f10a0ee,1abd8a10-befb-4dd7-87a5-72c3e02bbf8f,671.03,utilities,BR,atm,transfer,2025-09-17T04:07:07,4,4457.13,34,0.95,1,1,0.99,29813.07,1
983919f2-13ed-4a0a-997d-a5b48e058b84,2b0714b6-7096-47bf-bebe-726e5925af4d,2253.1,gas,IN,web,withdrawal,2025-05-22T16:06:04,16,1372.99,18,0.63,0,0,0.79,26112.86,0
4318695b-86c4-42dd-9f90-b90691ea5f7e,fdde6a8c-7b6e-48f9-8220-baa91e3543ad,1601.95,healthcare,FR,pos,deposit,2025-10-07T13:13:53,13,1069.76,9,0.16,0,1,0.24,19213.46,0
2b6ecc04-a1dd-468f-9433-8d0bacf9aad9,4ee1eccc-9e25-45c7-8704-77e6546e9f4d,316.02,entertainment,NG,mobile,withdrawal,2025-12-17T17:54:50,17,4283.66,25,0.7,1,1,0.91,29245.56,0
6f697fc2-29dc-4272-8b70-ec49c5b877aa,147bd934-968e-4079-a395-e07fce5b41b7,3768.61,gas,US,atm,deposit,2026-01-18T22:10:06,22,1102.69,35,0.61,1,0,0.77,27352.0,1
698cceea-2942-4313-8cee-be06eb9ca830,bbc306a0-4a60-4f2f-8b38-e7afec658662,1947.34,grocery,GB,mobile,deposit,2026-01-01T14:12:06,14,2670.62,11,0.98,1,1,0.86,45985.13,0
1dfb77ec-22e1-402f-832b-d63bf691de0f,ee8ff722-ab8f-4f46-9217-83f0f4245b7b,4334.92,gas,CA,atm,withdrawal,2025-09-12T02:38:50,2,1687.5,4,0.46,0,1,0.33,16434.9,1
612dc76e-0423-4050-833a-d7141fa328d2,04d02841-f5be-42c4-a789-1441c95041d3,2354.18,restaurant,GB,web,purchase,2025-06-22T15:14:06,15,201.29,23,0.96,0,0,0.3,3524.06,1
4e898948-0ccc-488a-b8f4-b240ef0bb63f,90b7f481-82a2-4f1b-a0e7-e332f6764554,1196.53,electronics,CA,web,withdrawal,2025-07-27T09:53:24,9,3834.49,8,0.7,1,0,0.61,10976.43,0
afd857a5-7d9c-46d2-be7b-75887be04bd3,5dd7709e-1d61-42fb-91ba-53afcdde2f9e,2895.53,restaurant,CA,mobile,withdrawal,2025-12-03T22:37:00,22,3575.07,37,0.4,1,0,0.71,47912.82,1
dd1099d6-ca62-469f-ac05-9b6762910caa,4e11904b-1c14-4bda-b7a6-fd29bd7e1513,3982.15,healthcare,FR,atm,purchase,2025-11-15T09:22:29,9,3237.72,23,0.08,0,0,0.58,33109.91,1
8b61c43e-2544-4998-bbcd-1048208b1160,17beadce-8a58-4906-af53-723b9717e346,4804.13,entertainment,IN,atm,withdrawal,2025-06-03T01:55:36,1,1350.41,10,0.97,1,1,0.49,36716.39,1
9b893d21-574a-4f71-a8a1-74888047d22e,b62e8ba0-c0a0-4c3c-8e3a-352adc29f9a3,4259.31,retail,IN,mobile,deposit,2025-05-11T03:16:15,3,3051.66,18,0.47,0,1,0.89,12268.79,1
405e3181-84eb-4016-84c7-36a2222de57f,bf98f162-375c-4d94-a3de-8ad1a2e4455e,913.29,utilities,CA,mobile,transfer,2025-05-29T13:21:41,13,3505.92,23,0.88,0,1,0.82,17082.91,0
4bbcde83-d492-4811-b5f5-8ebee666ecb7,6459aef1-d1e9-4dd9-8e07-55232ee0bb45,1210.57,grocery,DE,mobile,withdrawal,2025-06-16T07:33:07,7,3559.21,32,0.48,1,1,0.6,12092.16,0
117a45fc-43aa-4c7a-b31b-b72ece691fab,44a04793-d433-4fcf-aa28-ac5abeaa7322,2024.98,retail,NG,atm,withdrawal,2025-07-02T19:31:56,19,1718.79,20,0.56,0,1,0.7,18514.12,0
d8ed8f75-4581-4e9e-be33-6dc204449e7c,02677c83-6b73-44fa-a8a7-934357a6f7a7,1260.76,restaurant,NG,atm,withdrawal,2026-01-07T00:13:05,0,3450.82,13,0.95,0,0,0.38,37169.77,1
281a4aa8-0cb4-4631-8d43-af5e7211fb5e,7bf40a1c-e8c3-4303-a6ac-023146b45cbe,4902.65,grocery,GB,mobile,withdrawal,2025-07-23T03:24:12,3,2670.68,19,0.02,0,1,0.3,9054.13,1
